"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17499","testLoginWithValidCredentials","Default Suite","2025-09-22","passed","2025-09-22","testcases.TestLoginPage","rokomari-web-automation","testcases.TestLoginPage","testLoginWithValidCredentials"
"Should open a new page or same page after clicking the banner.","3894","Verify that carousel banners are working perfectly.","Default Suite","2025-09-22","passed","2025-09-22","testcases.TestHomePage","rokomari-web-automation","testcases.TestHomePage","TestOpenCarousel"
"Allure - Test Home Page Title","24","Test Home Page Title","Default Suite","2025-09-22","passed","2025-09-22","testcases.TestHomePage","rokomari-web-automation","testcases.TestHomePage","TestHomePageTitle"
"Test All types of books are displayed in the homepage.","219","Verify different types of books are displayed on the homepage.","Default Suite","2025-09-22","failed","2025-09-22","testcases.TestHomePage","rokomari-web-automation","testcases.TestHomePage","TestBookTypesDisplayed"
"Test Deals, discounts, or promotions should be displayed correctly.","30068","Verify that any deals, discounts, or carousel banner are correctly displayed on the home page.","Default Suite","2025-09-22","failed","2025-09-22","testcases.TestHomePage","rokomari-web-automation","testcases.TestHomePage","TestCarouselDisplay"
"","2","loadHomePageForTest","Default Suite","2025-09-22","broken","2025-09-22","testcases.TestHomePage","rokomari-web-automation","testcases.TestHomePage","loadHomePageForTest"
"","3","setup_class","Default Suite","2025-09-20","broken","2025-09-20","testcases.TestLoginPage","rokomari-web-automation","testcases.TestLoginPage","setup_class"
